Link_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Link_id,Link_throughput_plot,Packet_transmitted,Packet_transmitted,Packet_errored,Packet_errored,Packet_collided,Packet_collided,Bytes_transmitted(bytes),Payload_transmitted(bytes),Overhead_transmitted(bytes),,,,
4,2009,2000,8,0,0,0,,,,,,,,
5,2008,2000,9,0,0,0,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRED_NODE_1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.2 ,999,BROADCAST,,,,,,,,,
0.0.0.0,0.0.0.0,11.1.1.1,11.1.1.2 ,999,DEFAULT,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
WIRELESS_NODE_2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.3.0.0,255.255.0.0,on-link,11.3.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.3.1.2 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.3.1.2 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.3.1.2 ,999,BROADCAST,,,,,,,,,
0.0.0.0,0.0.0.0,11.3.1.1,11.3.1.2 ,999,DEFAULT,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ROUTER_4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.2.1.2,255.255.255.255,11.2.1.2,11.2.1.1 ,100,OSPF,,,,,,,,,
11.2.0.0,255.255.0.0,on-link,11.2.1.1 ,300,LOCAL,,,,,,,,,
11.1.0.0,255.255.0.0,on-link,11.1.1.1 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.1.1.1 11.2.1.1 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.1.1.1 11.2.1.1 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.1.1.1 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ROUTER_5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Network Destination,Netmask/Prefix len,Gateway,Interface,Metrics,Type,,,,,,,,,
11.2.1.1,255.255.255.255,11.2.1.1,11.2.1.2 ,100,OSPF,,,,,,,,,
11.3.0.0,255.255.0.0,on-link,11.3.1.1 ,300,LOCAL,,,,,,,,,
11.2.0.0,255.255.0.0,on-link,11.2.1.2 ,300,LOCAL,,,,,,,,,
224.0.0.1,255.255.255.255,on-link,11.2.1.2 11.3.1.1 ,306,MULTICAST,,,,,,,,,
224.0.0.0,240.0.0.0,on-link,11.2.1.2 11.3.1.1 ,306,MULTICAST,,,,,,,,,
255.255.255.255,255.255.255.255,on-link,11.3.1.1 ,999,BROADCAST,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
IEEE802.11_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DeviceId,InterfaceId,Frame Sent,Frame Received,RTS Sent,RTS Received,CTS Sent,CTS Received,Successful Backoff,Failed Backoff,,,,,
2,1,0,1000,0,0,0,0,0,0,,,,,
2,1,999,0,0,0,0,0,885,0,,,,,
2,1,0,0,0,0,0,0,0,0,,,,,
2,1,0,0,0,0,0,0,0,0,,,,,
6,2,0,998,0,0,0,0,0,0,,,,,
6,2,1002,0,0,0,0,0,914,0,,,,,
6,2,0,0,0,0,0,0,0,0,,,,,
6,2,0,0,0,0,0,0,0,0,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
L2_SWITCH_3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mac Address,Type,OutPort,,,,,,,,,,,,
AF1D00000101,Dynamic,1,,,,,,,,,,,,
AF1D00000401,Dynamic,2,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application_Metrics,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Application Id,Application Name,Source Id,Destination Id,Packet generated,Packet received,Payload generated (bytes),Payload received (bytes),Throughput (Mbps),Delay(microsec),Jitter(microsec),,,,
1,App1_CUSTOM,1,2,998,998,1457080,1457080,0.582832,45389.11073,5650.023538,,,,
